# participant=P001 | sex=male | age=22 | weight_kg=68 | height_cm=175
# exercise=cycling | trial_no=1 | label=cycling | session=2026-06-20T19:10:55.280Z | tz=Asia/Calcutta
datetime_local,muscle1_raw_mV,muscle2_raw_mV,muscle3_raw_mV,muscle4_raw_mV
2026-06-21 00:40:55.234,,,,1427.2
2026-06-21 00:40:55.235,,,,1426.4
2026-06-21 00:40:55.236,,,,1427.2
2026-06-21 00:40:55.237,,,,1428
2026-06-21 00:40:55.238,,,,1427.2
2026-06-21 00:40:55.239,,,,1427.2
2026-06-21 00:40:55.240,,,,1427.2
2026-06-21 00:40:55.241,,,,1428.8
2026-06-21 00:40:55.238,1406.2,,,1427.2
2026-06-21 00:40:55.239,1399,,,1428.8
2026-06-21 00:40:55.240,1395.8,,,1426.4
2026-06-21 00:40:55.241,1399,,,1428
2026-06-21 00:40:55.242,1397.4,,,1428
2026-06-21 00:40:55.243,1397.4,,,1428.8
2026-06-21 00:40:55.244,1396.6,,,1431.2
2026-06-21 00:40:55.245,1395.8,,,1428
2026-06-21 00:40:55.246,1399,,,1428
2026-06-21 00:40:55.247,1399.8,,,1428
2026-06-21 00:40:55.248,1401.4,,,1428.8
2026-06-21 00:40:55.249,1399,,,1429.6
2026-06-21 00:40:55.250,1399,,1370,1427.2
2026-06-21 00:40:55.251,1399,,1364.3,1428.8
2026-06-21 00:40:55.252,1401.4,,1365.9,1428.8
2026-06-21 00:40:55.253,1401.4,,1364.3,1428
2026-06-21 00:40:55.254,1401.4,1123.4,1365.9,1429.6
2026-06-21 00:40:55.255,1403,1125,1366.7,1429.6
2026-06-21 00:40:55.256,1403,1125,1366.7,1431.2
2026-06-21 00:40:55.257,1402.2,1125.8,1365.9,1429.6
2026-06-21 00:40:55.258,1402.2,1128.2,1365.9,1430.4
2026-06-21 00:40:55.259,1399.8,1131.4,1365.9,1429.6
2026-06-21 00:40:55.260,1402.2,1131.4,1366.7,1429.6
2026-06-21 00:40:55.261,1399.8,1132.2,1364.3,1429.6
2026-06-21 00:40:55.262,1403,1129,1366.7,1429.6
2026-06-21 00:40:55.263,1403.8,1129.8,1366.7,1430.4
2026-06-21 00:40:55.264,1406.2,1130.6,1368.4,1429.6
2026-06-21 00:40:55.265,1404.6,1129,1365.9,1428
2026-06-21 00:40:55.266,1403,1132.2,1367.5,1427.2
2026-06-21 00:40:55.267,1406.2,1133,1366.7,1429.6
2026-06-21 00:40:55.268,1401.4,1133,1365.9,1428.8
2026-06-21 00:40:55.269,1400.6,1133,1366.7,1428
2026-06-21 00:40:55.270,1402.2,1133,1366.7,1427.2
2026-06-21 00:40:55.271,1399.8,1133,1364.3,1430.4
2026-06-21 00:40:55.272,1399,1133,1366.7,1430.4
2026-06-21 00:40:55.273,1399.8,1131.4,1366.7,1429.6
2026-06-21 00:40:55.274,1399,1133.8,1368.4,1429.6
2026-06-21 00:40:55.275,1403.8,1135.5,1366.7,1430.4
2026-06-21 00:40:55.276,1403,1134.7,1365.9,1428.8
2026-06-21 00:40:55.277,1399,1133,1366.7,1429.6
2026-06-21 00:40:55.278,1403,1133,1367.5,1430.4
2026-06-21 00:40:55.279,1401.4,1133,1370,1430.4
2026-06-21 00:40:55.280,1399.8,1133,1366.7,1426.4
2026-06-21 00:40:55.281,1406.2,1133,1370,1425.6
2026-06-21 00:40:55.282,1399.8,1133.8,1372.4,1426.4
2026-06-21 00:40:55.283,1401.4,1133,1366.7,1427.2
2026-06-21 00:40:55.284,1403,1133,1366.7,1427.2
2026-06-21 00:40:55.285,1402.2,1133.8,1366.7,1427.2
2026-06-21 00:40:55.286,1402.2,1133,1364.3,1427.2
2026-06-21 00:40:55.287,1403,1133,1366.7,1427.2
2026-06-21 00:40:55.305,1403,1133,1366.7,1427.2
2026-06-21 00:40:55.306,1394.9,1133.8,1369.2,1428
2026-06-21 00:40:55.307,1399,1133,1366.7,1427.2
2026-06-21 00:40:55.308,1414.3,1133,1368.4,1427.2
2026-06-21 00:40:55.309,1394.9,1130.6,1366.7,1427.2
2026-06-21 00:40:55.310,1397.4,1132.2,1367.5,1428
2026-06-21 00:40:55.311,1399,1133,1365.9,1428
2026-06-21 00:40:55.312,1403,1133,1369.2,1428
2026-06-21 00:40:55.313,1399,1133,1366.7,1428
2026-06-21 00:40:55.314,1403,1133,1366.7,1429.6
2026-06-21 00:40:55.315,1399.8,1133,1365.9,1428.8
2026-06-21 00:40:55.316,1399.8,1130.6,1366.7,1428.8
2026-06-21 00:40:55.317,1403,1129,1361.9,1427.2
2026-06-21 00:40:55.318,1403,1132.2,1365.9,1430.4
2026-06-21 00:40:55.319,1399.8,1132.2,1362.7,1430.4
2026-06-21 00:40:55.320,1399,1132.2,1362.7,1429.6
2026-06-21 00:40:55.321,1399.8,1125.8,1368.4,1431.2
2026-06-21 00:40:55.322,1397.4,1125,1365.9,1428.8
2026-06-21 00:40:55.323,1396.6,1129,1365.1,1428.8
2026-06-21 00:40:55.324,1399,1129,1365.9,1430.4
2026-06-21 00:40:55.325,1402.2,1129.8,1367.5,1430.4
2026-06-21 00:40:55.326,1399,1131.4,1366.7,1430.4
2026-06-21 00:40:55.327,1399.8,1132.2,1367.5,1429.6
2026-06-21 00:40:55.328,1403,1131.4,1365.9,1429.6
2026-06-21 00:40:55.329,1403,1133,1366.7,1430.4
2026-06-21 00:40:55.330,1401.4,1133,1366.7,1430.4
2026-06-21 00:40:55.331,1401.4,1132.2,1366.7,1428
2026-06-21 00:40:55.332,1403.8,1133,1367.5,1428.8
2026-06-21 00:40:55.333,1405.4,1133,1364.3,1430.4
2026-06-21 00:40:55.334,1403,1133,1365.9,1429.6
2026-06-21 00:40:55.335,1402.2,1133,1366.7,1429.6
2026-06-21 00:40:55.336,1399.8,1131.4,1366.7,1429.6
2026-06-21 00:40:55.337,1399,1133,1366.7,1429.6
2026-06-21 00:40:55.338,1399.8,1132.2,1366.7,1428.8
2026-06-21 00:40:55.339,1404.6,1133,1367.5,1429.6
2026-06-21 00:40:55.340,1406.2,1133,1367.5,1430.4
2026-06-21 00:40:55.341,1406.2,1133,1366.7,1428.8
2026-06-21 00:40:55.342,1402.2,1130.6,1365.9,1428.8
2026-06-21 00:40:55.343,1404.6,1131.4,1367.5,1431.2
2026-06-21 00:40:55.344,1402.2,1128.2,1367.5,1432
2026-06-21 00:40:55.345,1403,1131.4,1366.7,1428
2026-06-21 00:40:55.346,1403,1133,1366.7,1428.8
2026-06-21 00:40:55.347,1403,1130.6,1367.5,1427.2
2026-06-21 00:40:55.348,1404.6,1125,1369.2,1426.4
2026-06-21 00:40:55.349,1405.4,1125.8,1366.7,1427.2
2026-06-21 00:40:55.350,1405.4,1133,1366.7,1427.2
2026-06-21 00:40:55.351,1403.8,1133,1368.4,1428.8
2026-06-21 00:40:55.352,1403.8,1130.6,1366.7,1427.2
2026-06-21 00:40:55.353,1406.2,1131.4,1365.1,1430.4
2026-06-21 00:40:55.354,1404.6,1131.4,1368.4,1427.2
2026-06-21 00:40:55.337,1402.2,1129.8,1370.8,1428
2026-06-21 00:40:55.338,1397.4,1282.1,1369.2,1428.8
2026-06-21 00:40:55.339,1399,1276.5,1366.7,1427.2
2026-06-21 00:40:55.340,1399,1264.4,1366.7,1427.2
2026-06-21 00:40:55.341,1397.4,1253.1,1368.4,1427.2
2026-06-21 00:40:55.342,1399,1240.2,1366.7,1427.2
2026-06-21 00:40:55.343,1397.4,1228.9,1366.7,1427.2
2026-06-21 00:40:55.344,1398.2,1220.9,1366.7,1428.8
2026-06-21 00:40:55.345,1399.8,1212,1366.7,1428
2026-06-21 00:40:55.346,1399,1203.2,1367.5,1429.6
2026-06-21 00:40:55.347,1399,1195.9,1366.7,1427.2
2026-06-21 00:40:55.348,1399,1187.8,1366.7,1432.8
2026-06-21 00:40:55.349,1397.4,1184.6,1361.9,1427.2
2026-06-21 00:40:55.350,1399.8,1171.7,1362.7,1428
2026-06-21 00:40:55.351,1399,1164.5,1364.3,1428.8
2026-06-21 00:40:55.352,1399.8,1161.2,1365.9,1428
2026-06-21 00:40:55.353,1401.4,1142.7,1366.7,1427.2
2026-06-21 00:40:55.354,1399.8,1142.7,1363.5,1428
2026-06-21 00:40:55.355,1403.8,1142.7,1366.7,1429.6
2026-06-21 00:40:55.356,1403,1142.7,1365.9,1428.8
2026-06-21 00:40:55.357,1401.4,1141.1,1366.7,1427.2
2026-06-21 00:40:55.358,1399.8,1137.1,1365.1,1427.2
2026-06-21 00:40:55.359,1403.8,1137.1,1364.3,1428
2026-06-21 00:40:55.360,1401.4,1135.5,1367.5,1428
2026-06-21 00:40:55.361,1402.2,1133,1366.7,1429.6
2026-06-21 00:40:55.362,1403.8,1133,1365.9,1429.6
2026-06-21 00:40:55.363,1406.2,1132.2,1366.7,1427.2
2026-06-21 00:40:55.364,1403,1135.5,1365.1,1428
2026-06-21 00:40:55.365,1404.6,1133.8,1366.7,1429.6
2026-06-21 00:40:55.366,1403,1137.1,1366.7,1427.2
2026-06-21 00:40:55.367,1403,1136.3,1366.7,1429.6
2026-06-21 00:40:55.368,1400.6,1141.1,1365.1,1430.4
2026-06-21 00:40:55.369,1403,1138.7,1367.5,1429.6
2026-06-21 00:40:55.370,1400.6,1137.1,1367.5,1431.2
2026-06-21 00:40:55.371,1398.2,1134.7,1366.7,1428.8
2026-06-21 00:40:55.372,1402.2,1136.3,1365.1,1432
2026-06-21 00:40:55.373,1402.2,1133,1365.9,1428.8
